endTime,artistName,trackName,msPlayed
2019-11-05 23:04,Internet Money,Somebody,1044
2019-11-05 23:06,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",1972
2019-11-05 23:06,Ambjaay,Uno,1277
2019-11-05 23:06,Fat Joe,YES,21617
2019-11-05 23:06,Roddy Ricch,Start Wit Me (feat. Gunna),146600
2019-11-05 23:07,Lil' Kim,Found You,1300
2019-11-05 23:07,Swae Lee,Won't Be Late (feat. Drake),16370
2019-11-05 23:07,Tyla Yaweh,I Think I Luv Her (feat. YG),37198
2019-11-05 23:08,Lil Tecca,Ransom (with Juice WRLD) - Remix,1114
2019-11-05 23:08,Casanova,Woah (feat. Jeremih),20921
2019-11-05 23:08,Young M.A,She Like I'm Like,32182
2019-11-05 23:08,Lil Tecca,Shots,1904
2019-11-05 23:08,Baby Keem,ORANGE SODA,1346
2019-11-05 23:08,Chance the Rapper,Hot Shower,1091
2019-11-05 23:08,J. Cole,MIDDLE CHILD,1369
2019-11-06 00:37,Russ,BEST ON EARTH (feat. BIA) - Bonus,30418
2019-11-06 00:38,Yo Gotti,Put a Date On It (feat. Lil Baby),10090
2019-11-06 00:38,Daniel Caesar,CYANIDE REMIX (feat. Koffee),4053
2019-11-06 00:38,Flipp Dinero,Feelin Like,1194
2019-11-06 04:14,The Read,Rim Shot,5034
2019-11-06 04:29,The Read,Rim Shot,905130
2019-11-06 12:33,Beyoncé,OTHERSIDE,219991
2019-11-06 12:35,Beyoncé,NILE,107204
2019-11-06 12:40,Beyoncé,"SPIRIT - From Disney's ""The Lion King""",277030
2019-11-06 12:42,Beyoncé,FIND YOUR WAY BACK,162353
2019-11-06 12:45,Tekno,DON'T JEALOUS ME,155990
2019-11-06 12:48,Tiwa Savage,KEYS TO THE KINGDOM,198952
2019-11-06 12:53,Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),272068
2019-11-06 12:57,Beyoncé,BIGGER,226479
2019-11-06 12:57,Nija,MY POWER,33165
2019-11-06 13:39,070 Shake,SCAR,8466
2019-11-06 14:26,The Read,Rim Shot,1834632
2019-11-06 18:17,The Read,Rim Shot,2189691
2019-11-06 21:04,J. Cole,03' Adolescence,264213
2019-11-06 21:09,Ari Lennox,Whipped Cream,288531
2019-11-06 21:11,Takeoff,Last Memory,18703
2019-11-06 21:11,Bas,Jollof Rice (with EARTHGANG),128139
2019-11-06 21:17,Gunna,Sold Out Dates (feat. Lil Baby),166368
2019-11-06 21:21,Drake,Pound Cake / Paris Morton Music 2,273602
2019-11-06 21:22,The Weeknd,Shameless,36416
2019-11-06 21:24,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),136366
2019-11-06 21:27,Quality Control,Virgil,170935
2019-11-06 21:29,PnB Rock,Fendi (feat. Nicki Minaj & Murda Beatz),104498
2019-11-06 21:29,Jaden,Chateau,16053
2019-11-06 21:29,Carnage,Bricks (feat. Migos),2634
2019-11-06 21:30,J. Cole,Intro,32960
2019-11-06 21:33,Chance the Rapper,Wala Cam,4031
2019-11-06 21:33,Trippie Redd,Today,1758
2019-11-06 21:33,Young Thug,Hot (feat. Gunna),193026
2019-11-06 21:36,Flipp Dinero,Time Goes Down,195789
2019-11-06 21:37,Lil Mosey,Bust Down Cartier,21226
2019-11-06 21:37,Supa Bwe,Rememory (feat. Chance The Rapper),39902
2019-11-06 21:41,J. Cole,G.O.M.D.,241983
2019-11-06 21:44,DaBaby,INTRO,172800
2019-11-06 21:49,The Weeknd,Can't Feel My Face,51937
2019-11-06 21:54,Drake,From Time,322160
2019-11-06 21:55,Quality Control,"Killin' Time (Lil Yachty feat. Offset, Mango Foo)",15068
2019-11-07 00:18,The Read,Rim Shot,1162298
2019-11-07 00:41,The Read,Rim Shot,524029
2019-11-07 18:54,Little By Little,Little By Little Episode 1: Special Guest: Josiah Collins,47573
2019-11-07 20:04,Stuff You Should Know,Short Stuff: The History of Paternity Testing,10602
2019-11-07 20:04,Here's The Thing,What's the Best Type of French Fry,3896215
2019-11-07 21:28,True Crime Obsessed,108: Screwball,2037
2019-11-07 21:28,True Crime Obsessed,108: Screwball,266
2019-11-07 21:28,The Read,Bowl Baths,2002
2019-11-07 21:28,The Read,Rim Shot,15840
2019-11-07 21:28,The Read,Rim Shot,1043402
2019-11-07 21:28,The Read,Rim Shot,4441
2019-11-07 21:29,The Joe Budden Podcast with Rory & Mal..,"Episode 295 | ""Who Shot Ya?""",4981
2019-11-07 21:29,The Koy Pond with Jo Koy,Special Guest Gabriel Iglesias - Part 1!,1226
2019-11-07 22:47,The Joe Budden Podcast with Rory & Mal..,"Episode 295 | ""Who Shot Ya?""",3865023
2019-11-07 22:47,Beyoncé,Welcome - Homecoming Live,11360
2019-11-07 22:47,Beyoncé,I Care - Homecoming Live,4650
2019-11-07 22:51,Beyoncé,Formation - Homecoming Live,2869
2019-11-07 22:51,Beyoncé,So Much Damn Swag - Interlude - Homecoming Live,480
2019-11-07 22:51,Beyoncé,Freedom - Homecoming Live,543
2019-11-07 22:51,Beyoncé,Lift Ev'ry Voice and Sing - Homecoming Live,1631
2019-11-07 22:51,Beyoncé,Crazy In Love - Homecoming Live,2513
2019-11-07 22:51,Beyoncé,Sorry - Homecoming Live,1525
2019-11-07 22:51,Beyoncé,I Care - Homecoming Live,248538
2019-11-07 22:51,Beyoncé,Kitty Kat - Homecoming Live,415
2019-11-07 22:53,Beyoncé,Bow Down - Homecoming Live,87887
2019-11-07 22:55,Beyoncé,I Been On - Homecoming Live,160089
2019-11-07 23:00,Beyoncé,Drunk in Love - Homecoming Live,254004
2019-11-07 23:15,Beyoncé,Diva - Homecoming Live,165872
2019-11-07 23:19,Beyoncé,Flawless / Feeling Myself - Homecoming Live,238293
2019-11-07 23:20,Beyoncé,Top Off - Homecoming Live,82933
2019-11-07 23:21,Beyoncé,7/11 - Homecoming Live,61585
2019-11-07 23:21,Beyoncé,Bug A Boo Roll Call - Interlude - Homecoming Live,7658
2019-11-07 23:25,Beyoncé,Party - Homecoming Live,228208
2019-11-07 23:28,Beyoncé,Don't Hurt Yourself - Homecoming Live,163332
2019-11-07 23:32,Beyoncé,I Care - Homecoming Live,248538
2019-11-07 23:34,Beyoncé,Partition - Homecoming Live,138526
2019-11-07 23:36,Beyoncé,Yoncé - Homecoming Live,68351
